1276	332	850	361	122	217	321	1176	253	792	472	1014	917	1219	876	139	520	750	976	479	403	1084	793	468	696	836	87	184	296	606	1262	370	965	869	1227	417	1086	50	1025	322	366	1060	201	995	788	355	1172	282	1259	1136	716
332	1276	973	841	886	170	410	1198	50	187	50	737	328	1212	805	1209	777	1142	1165	336	78	113	578	77	722	662	1110	615	144	543	514	1030	1170	1008	857	441	593	931	567	347	1149	651	755	928	1183	665	466	252	265	508	1069
850	973	1276	558	654	277	902	227	1055	151	824	267	1207	1053	866	489	72	257	1185	1178	316	801	120	548	980	452	516	663	205	229	702	286	1244	344	455	1254	450	692	1047	102	1001	483	754	208	207	676	863	950	50	513	517
361	841	558	1276	684	240	331	604	1246	893	223	1018	688	748	752	1037	1004	1098	763	360	157	1120	580	59	603	802	747	1214	243	1266	990	1076	166	76	614	431	677	155	1194	1260	50	133	532	50	238	803	991	1222	50	382	1054
122	886	654	684	1276	860	833	800	1050	571	992	1068	1168	1189	224	1261	774	872	372	1115	967	71	422	1145	424	1127	1024	1216	707	1156	830	54	1141	435	1011	574	127	924	813	50	311	287	878	566	1062	652	61	234	1105	109	785
217	170	277	240	860	1276	868	932	1195	163	765	1190	50	351	374	632	627	63	562	1210	1032	1040	272	900	305	50	218	547	232	1265	669	937	1107	540	743	746	50	779	499	276	492	52	871	778	1129	582	1146	845	68	501	1041
321	410	902	331	833	868	1276	998	502	914	153	50	948	165	817	915	99	1080	400	408	1236	622	617	815	1013	353	613	1043	820	50	961	631	951	235	1006	1099	1066	50	674	461	279	887	1031	1093	309	248	75	278	110	742	799
1176	1198	227	604	800	932	998	1276	261	79	584	703	1200	791	577	908	204	898	190	642	116	418	1042	384	1174	568	154	438	1103	343	465	682	986	179	50	818	828	987	426	216	335	797	50	137	637	494	790	640	100	647	978
253	50	1055	1246	1050	1195	502	261	1276	505	1153	143	371	495	1256	1140	575	1173	531	983	855	291	405	1199	167	149	1184	62	436	50	635	736	58	731	398	1026	1157	572	771	727	1239	1049	735	1088	162	733	667	1075	1112	443	840
792	187	151	893	571	163	914	79	505	1276	230	891	1072	121	180	535	522	1220	599	191	226	608	1221	1272	50	1250	586	848	655	1002	673	213	463	471	921	105	1048	462	367	1162	104	497	687	55	664	539	537	757	388	751	108
472	50	824	223	992	765	153	584	1153	230	1276	1267	1116	594	985	1092	1169	181	979	294	174	340	169	1208	523	889	643	1268	1113	534	666	989	821	784	888	496	171	285	1117	762	685	760	175	1097	1161	118	1135	896	317	738	705
1014	737	267	1018	1068	1190	50	703	143	891	1267	1276	146	511	363	381	939	639	551	283	50	781	968	1082	183	425	858	480	894	485	941	870	1258	215	1123	95	879	925	1095	1101	851	955	188	946	194	300	953	477	694	942	919
917	328	1207	688	1168	50	948	1200	371	1072	1116	146	1276	302	1077	555	1147	1151	352	918	641	469	416	57	1225	576	320	975	142	862	1029	50	339	997	1275	592	420	1126	476	563	864	56	389	1274	1104	940	798	260	512	645	101
1219	1212	1053	748	1189	351	165	791	495	121	594	511	302	1276	717	242	1139	1056	67	147	656	723	93	686	81	611	1226	1167	693	1213	50	734	393	712	1186	787	648	411	756	720	954	749	714	1204	573	628	1114	482	375	1122	50
876	805	866	752	224	374	817	577	1256	180	985	363	1077	717	1276	437	219	966	1234	491	228	527	271	412	884	244	559	1249	1175	945	829	981	333	131	50	649	1191	1061	385	899	193	50	807	50	595	264	916	90	969	699	1070
139	1209	489	1037	1261	632	915	908	1140	535	1092	381	555	242	437	1276	236	295	1100	114	996	396	1124	569	903	943	719	728	50	1196	50	811	766	962	789	409	464	198	844	1005	1020	1023	1081	730	415	984	822	936	203	1134	550
520	777	72	1004	774	627	99	204	575	522	1169	939	1147	1139	219	236	1276	348	837	467	999	1091	974	526	503	460	780	50	1166	427	117	672	266	330	971	691	709	530	1273	96	901	890	439	354	209	83	782	202	1211	581	73
750	1142	257	1098	872	63	1080	898	1173	1220	181	639	1151	1056	966	295	348	1276	404	1064	1257	1160	609	1009	487	1143	378	1205	239	610	1065	164	875	50	197	885	134	386	700	907	222	60	307	1035	50	678	1138	342	1034	140	365
