211	146	135	190	59	174	73	177	152	35	189	28	170	23	20	20	202	29	39	63	50
146	211	80	126	20	20	34	157	150	30	182	53	119	122	20	66	24	171	22	159	92
135	80	211	133	172	81	88	61	45	56	20	76	58	209	201	95	205	20	42	60	71
190	126	133	211	21	195	97	210	74	86	191	131	108	144	79	187	124	168	118	20	100
59	20	172	21	211	173	51	184	44	25	96	32	160	20	147	117	26	87	20	48	47
174	20	81	195	173	211	164	93	67	85	91	94	69	113	57	65	20	72	199	121	176
73	34	88	97	51	164	211	109	49	112	145	198	75	103	207	70	167	137	169	101	20
177	157	61	210	184	93	109	211	107	104	149	20	166	200	148	105	163	90	20	156	161
152	150	45	74	44	67	49	107	211	151	55	20	186	143	154	139	40	188	89	194	129
35	30	56	86	25	85	112	104	151	211	206	193	141	175	179	20	208	43	197	125	127
189	182	20	191	96	91	145	149	55	206	211	78	140	203	46	106	192	115	136	84	99
28	53	76	131	32	94	198	20	20	193	78	211	111	196	38	132	54	155	153	128	116
170	119	58	108	160	69	75	166	186	141	140	111	211	178	162	20	123	181	36	64	180
23	122	209	144	20	113	103	200	143	175	203	196	178	211	142	62	102	134	110	27	183
20	20	201	79	147	57	207	148	154	179	46	38	162	142	211	33	114	68	130	158	82
20	66	95	187	117	65	70	105	139	20	106	132	20	62	33	211	138	77	37	31	98
202	24	205	124	26	20	167	163	40	208	192	54	123	102	114	138	211	83	185	41	20
29	171	20	168	87	72	137	90	188	43	115	155	181	134	68	77	83	211	20	204	120
39	22	42	118	20	199	169	20	89	197	136	153	36	110	130	37	185	20	211	52	165
63	159	60	20	48	121	101	156	194	125	84	128	64	27	158	31	41	204	52	211	20
50	92	71	100	47	176	20	161	129	127	99	116	180	183	82	98	20	120	165	20	211
