211	179	150	20	187	173	174	195	128	90	85	160	94	121	20	138	161	127	185	117	196
179	211	41	20	152	125	30	200	48	141	47	114	115	39	177	92	81	209	20	192	45
150	41	211	143	202	59	155	88	157	58	182	20	181	170	103	206	201	87	189	118	113
20	20	143	211	36	180	108	102	106	158	51	142	101	111	69	197	205	53	126	172	133
187	152	202	36	211	20	146	194	144	32	136	34	38	20	120	171	75	132	52	25	80
173	125	59	180	20	211	100	70	124	83	162	203	49	149	130	86	26	208	99	20	167
174	30	155	108	146	100	211	89	119	79	184	191	61	22	91	28	84	63	107	20	190
195	200	88	102	194	70	89	211	20	163	110	199	60	71	35	33	129	76	140	66	183
128	48	157	106	144	124	119	20	211	82	78	137	20	46	65	156	20	112	168	147	31
90	141	58	158	32	83	79	163	82	211	57	165	27	105	37	104	56	20	139	116	21
85	47	182	51	136	162	184	110	78	57	211	20	93	169	20	77	68	198	95	210	29
160	114	20	142	34	203	191	199	137	165	20	211	135	186	176	123	164	153	67	96	207
94	115	181	101	38	49	61	60	20	27	93	135	211	148	23	166	122	20	55	24	43
121	39	170	111	20	149	22	71	46	105	169	186	148	211	62	151	44	109	98	64	50
20	177	103	69	120	130	91	35	65	37	20	176	23	62	211	54	20	42	175	40	159
138	92	206	197	171	86	28	33	156	104	77	123	166	151	54	211	72	20	193	134	145
161	81	201	205	75	26	84	129	20	56	68	164	122	44	20	72	211	74	154	204	73
127	209	87	53	132	208	63	76	112	20	198	153	20	109	42	20	74	211	131	97	20
185	20	189	126	52	99	107	140	168	139	95	67	55	98	175	193	154	131	211	178	188
117	192	118	172	25	20	20	66	147	116	210	96	24	64	40	134	204	97	178	211	20
196	45	113	133	80	167	190	183	31	21	29	207	43	50	159	145	73	20	188	20	211
