821	755	563	321	818	137	311	778	409	173	350	326	53	492	587	514	197	586	768	260	80	81	414	662	66	479	136	40	812	40	520	388	246	527	272	727	779	567	57	655	560
755	821	749	790	336	189	331	491	759	438	644	634	263	811	235	674	77	334	417	251	447	208	622	300	138	590	742	372	121	616	68	337	177	268	455	210	258	399	416	40	421
563	749	821	223	204	389	495	104	276	436	375	341	152	657	297	75	284	169	758	716	434	207	277	808	230	40	694	562	261	264	765	40	319	40	744	561	42	54	286	437	459
321	790	223	821	183	40	418	603	149	274	769	623	529	85	498	211	233	645	167	126	205	574	346	224	40	774	222	613	203	141	119	328	565	468	40	364	760	715	40	666	521
818	336	204	183	821	187	41	145	411	614	739	87	93	482	113	40	540	256	745	221	695	40	157	600	43	124	348	705	483	56	484	543	151	673	40	59	424	802	186	193	318
137	189	389	40	187	821	40	752	106	463	146	677	499	750	40	641	358	401	813	466	791	332	800	118	557	98	127	820	513	663	469	718	756	453	685	429	47	188	517	439	60
311	331	495	418	41	40	821	65	369	123	185	353	181	583	460	199	454	815	596	406	380	413	84	585	485	103	228	70	40	379	729	794	423	218	97	320	489	810	250	122	377
778	491	104	603	145	752	65	821	270	531	40	710	110	63	365	335	523	201	430	422	111	576	702	516	719	400	40	40	720	611	160	147	397	156	408	175	524	675	374	475	232
409	759	276	149	411	106	369	270	821	723	781	130	69	598	170	476	404	324	115	166	687	295	725	234	670	508	431	805	544	692	477	528	426	609	303	548	40	546	658	40	304
173	438	436	274	614	463	123	531	723	821	819	125	40	771	133	735	265	392	572	577	777	368	92	44	642	412	242	112	743	239	564	522	302	712	329	478	700	244	783	363	442
350	644	375	769	739	146	185	40	781	819	821	796	48	40	761	678	219	51	473	339	310	164	299	496	747	448	730	785	40	773	537	688	395	515	345	217	693	192	504	604	40
326	634	341	623	87	677	353	710	130	125	796	821	288	271	96	433	79	315	717	534	653	419	457	680	428	229	618	637	108	493	793	383	764	474	72	398	40	307	394	643	754
53	263	152	529	93	499	181	110	69	40	48	288	821	757	533	322	446	182	161	451	440	168	589	630	787	449	309	650	530	174	89	114	262	40	633	178	195	809	52	629	407
492	811	657	85	482	750	583	63	598	771	40	271	757	821	608	792	64	95	102	385	555	194	245	213	248	252	163	668	67	559	46	40	602	435	784	158	699	536	159	525	306
587	235	297	498	113	40	460	365	170	133	761	96	533	608	821	143	816	461	542	241	370	236	190	216	116	367	654	624	425	776	292	683	45	621	584	131	573	780	803	40	129
514	674	75	211	40	641	199	335	476	735	678	433	322	792	143	821	366	597	704	40	330	656	282	291	737	782	294	403	766	99	550	344	503	381	73	83	445	212	566	648	91
197	77	284	233	540	358	454	523	404	265	219	79	446	64	816	366	821	467	681	240	40	640	588	76	627	396	770	371	287	625	120	799	502	452	665	635	257	751	249	462	317
586	334	169	645	256	401	815	201	324	392	51	315	182	95	461	597	467	821	140	558	636	698	541	578	40	176	728	612	255	676	40	545	733	49	100	40	237	171	71	86	591
768	417	758	167	745	813	596	430	115	572	473	717	161	102	542	704	681	140	821	314	592	615	647	772	696	539	227	142	432	40	238	243	617	593	519	266	798	90	511	357	378
260	251	716	126	221	466	406	422	166	577	339	534	451	385	241	40	240	558	314	821	40	660	355	512	427	134	740	231	373	253	631	267	58	209	278	471	707	763	128	191	105
80	447	434	205	695	791	380	111	687	777	310	653	440	555	370	330	40	636	592	40	821	196	384	101	135	806	214	753	458	132	61	386	697	669	333	465	179	275	581	293	323
81	208	207	574	40	332	413	576	295	368	164	419	168	194	236	656	640	698	615	660	196	821	290	535	632	724	480	801	571	420	722	150	200	556	198	689	62	283	672	361	547
414	622	277	346	157	800	84	702	725	92	299	457	589	245	190	282	588	541	647	355	384	290	821	393	494	225	505	568	40	664	506	470	748	553	441	804	619	667	206	736	690
662	300	808	224	600	118	585	516	234	44	496	680	630	213	216	291	76	578	772	512	101	535	393	821	709	40	486	817	343	280	711	532	472	490	351	626	352	599	153	88	500
66	138	230	40	43	557	485	719	670	642	747	428	787	248	116	737	627	40	696	427	135	632	494	709	821	731	789	154	570	444	721	538	40	155	279	501	671	775	362	226	338
479	590	40	774	124	98	103	400	508	412	448	229	449	252	367	782	396	176	539	134	806	724	225	40	731	821	679	162	652	649	360	551	601	659	387	356	620	281	701	518	509
136	742	694	222	348	127	228	40	431	242	730	618	309	163	654	294	770	728	227	740	214	480	505	486	789	679	821	767	552	296	726	376	94	610	714	795	382	639	661	443	686
40	372	562	613	705	820	70	40	805	112	785	637	650	668	624	403	371	612	142	231	753	801	568	817	154	162	767	821	391	148	607	510	786	202	575	594	82	172	638	651	582
812	121	261	203	483	513	40	720	544	743	40	108	530	67	425	766	287	255	432	373	458	571	40	343	570	652	552	391	821	312	144	746	450	788	507	628	487	40	298	109	706
40	616	264	141	56	663	379	611	692	239	773	493	174	559	776	99	625	676	40	253	132	420	664	280	444	649	296	148	312	821	254	415	762	580	405	117	390	289	316	682	215
520	68	765	119	484	469	729	160	477	564	537	793	89	46	292	550	120	40	238	631	61	722	506	711	721	360	726	607	144	254	821	342	247	347	797	703	50	579	606	464	814
388	337	40	328	543	718	794	147	528	522	688	383	114	40	683	344	799	545	243	267	386	150	470	532	538	551	376	510	746	415	342	821	354	554	569	325	708	259	488	732	340
246	177	319	565	151	756	423	397	426	302	395	764	262	602	45	503	502	733	617	58	697	200	748	472	40	601	94	786	450	762	247	354	821	456	78	301	738	402	327	285	313
527	268	40	468	673	453	218	156	609	712	515	474	40	435	621	381	452	49	593	209	669	556	553	490	155	659	610	202	788	580	347	554	456	821	410	526	220	807	55	595	741
272	455	744	40	40	685	97	408	303	329	345	72	633	784	584	73	665	100	519	278	333	198	441	351	279	387	714	575	507	405	797	569	78	410	821	646	107	734	684	691	74
