466	124	162	95	262	139	305	42	30	30	152	87	464	114	209	215	283	96	65	69	433	219	221	363	444	312	116	298	287	303	175
124	466	381	240	430	436	293	160	455	206	463	120	212	73	126	223	264	348	385	128	64	315	356	410	390	180	450	460	173	333	30
162	381	466	106	197	458	30	229	228	59	30	235	323	377	349	437	40	188	252	288	171	149	230	393	214	286	441	338	174	110	459
95	240	106	466	242	186	447	30	112	366	123	203	52	273	166	249	434	144	261	172	265	208	131	150	411	425	334	420	232	243	113
262	430	197	242	466	417	146	277	154	127	256	187	446	193	30	246	414	421	386	66	340	260	294	90	118	181	122	158	416	191	462
139	436	458	186	417	466	151	379	38	440	68	75	280	350	281	300	98	291	84	359	211	402	335	72	224	301	422	30	205	307	99
305	293	30	447	146	151	466	129	156	279	133	82	270	394	278	320	395	398	143	429	125	330	67	51	132	233	49	258	58	342	339
42	160	229	30	277	379	129	466	408	392	352	453	30	329	145	284	449	322	389	297	86	241	195	182	200	204	56	207	80	225	413
30	455	228	112	154	38	156	408	466	326	36	314	77	353	54	263	304	74	134	97	456	251	45	399	382	101	346	341	454	321	92
30	206	59	366	127	440	279	392	326	466	43	194	167	35	115	76	391	33	78	44	383	308	238	198	63	254	253	255	30	362	406
152	463	30	123	256	68	133	352	36	43	466	319	119	404	374	332	159	185	438	47	189	268	452	70	30	244	354	30	30	336	267
87	120	235	203	187	75	82	453	314	194	319	466	412	409	91	30	226	39	60	48	30	367	170	357	62	183	236	313	318	37	163
464	212	323	52	446	280	270	30	77	167	119	412	466	121	89	247	370	365	372	30	364	30	176	55	337	88	30	405	147	448	34
114	73	377	273	193	350	394	329	353	35	404	409	121	466	344	432	30	141	407	347	415	104	142	30	30	202	168	397	292	117	100
209	126	349	166	30	281	278	145	54	115	374	91	89	344	466	328	94	192	343	428	317	148	360	259	400	130	465	257	276	30	388
215	223	437	249	246	300	320	284	263	76	332	30	247	432	328	466	85	155	179	299	216	289	327	234	306	231	384	135	210	248	218
283	264	40	434	414	98	395	449	304	391	159	226	370	30	94	85	466	41	371	107	103	396	177	164	222	309	310	266	375	443	275
96	348	188	144	421	291	398	322	74	33	185	39	365	141	192	155	41	466	442	376	423	57	239	32	61	418	190	184	30	105	140
65	385	252	261	386	84	143	389	134	78	438	60	372	407	343	179	371	442	466	426	53	108	83	30	111	296	199	282	274	93	272
69	128	288	172	66	359	429	297	97	44	47	48	30	347	428	299	107	376	426	466	217	369	401	435	245	387	295	81	220	30	30
433	64	171	265	340	211	125	86	456	383	189	30	364	415	317	216	103	423	53	217	466	451	136	71	439	311	237	361	30	331	461
219	315	149	208	260	402	330	241	251	308	268	367	30	104	148	289	396	57	108	369	451	466	46	161	157	30	285	325	316	102	368
221	356	230	131	294	335	67	195	45	238	452	170	176	142	360	327	177	239	83	401	136	46	466	165	290	380	30	345	302	427	250
363	410	393	150	90	72	51	182	399	198	70	357	55	30	259	234	164	32	30	435	71	161	165	466	424	403	153	355	31	419	227
444	390	214	411	118	224	132	200	382	63	30	62	337	30	400	306	222	61	111	245	439	157	290	424	466	271	79	358	138	178	201
312	180	286	425	181	301	233	204	101	254	244	183	88	202	130	231	309	418	296	387	311	30	380	403	271	466	269	378	213	109	445
116	450	441	334	122	422	49	56	346	253	354	236	30	168	465	384	310	190	199	295	237	285	30	153	79	269	466	30	457	137	169
298	460	338	420	158	30	258	207	341	255	30	313	405	397	257	135	266	184	282	81	361	325	345	355	358	378	30	466	324	50	196
287	173	174	232	416	205	58	80	454	30	30	318	147	292	276	210	375	30	274	220	30	316	302	31	138	213	457	324	466	373	351
303	333	110	243	191	307	342	225	321	362	336	37	448	117	30	248	443	105	93	30	331	102	427	419	178	109	137	50	373	466	431
175	30	459	113	462	99	339	413	92	406	267	163	34	100	388	218	275	140	272	30	461	368	250	227	201	445	169	196	351	431	466
