211	111	108	138	122	94	100	21	53	153	91	31	210	163	86	20	98	81	104	72	73
111	211	110	93	97	133	155	161	38	118	135	87	193	201	203	56	128	20	47	150	190
108	110	211	51	43	119	35	131	105	20	106	60	67	112	127	20	79	121	117	160	30
138	93	51	211	20	186	154	32	159	141	199	158	169	99	176	147	113	125	144	162	20
122	97	43	20	211	204	164	137	168	107	20	188	58	48	178	77	26	146	45	41	208
94	133	119	186	204	211	52	149	120	191	75	129	20	95	92	140	101	145	116	90	20
100	155	35	154	164	52	211	20	20	196	179	142	151	20	171	189	134	180	24	88	200
21	161	131	32	137	149	20	211	166	22	20	20	69	57	36	89	177	20	20	195	194
53	38	105	159	168	120	20	166	211	37	209	148	124	115	126	46	102	34	198	66	80
153	118	20	141	107	191	196	22	37	211	23	25	206	29	78	54	184	55	63	27	65
91	135	106	199	20	75	179	20	209	23	211	143	83	139	130	172	202	156	96	181	205
31	87	60	158	188	129	142	20	148	25	143	211	192	44	157	20	40	132	42	183	173
210	193	67	169	58	20	151	69	124	206	83	192	211	82	185	70	103	182	123	61	197
163	201	112	99	48	95	20	57	115	29	139	44	82	211	207	152	33	84	175	114	62
86	203	127	176	178	92	171	36	126	78	130	157	185	207	211	74	59	174	39	20	170
20	56	20	147	77	140	189	89	46	54	172	20	70	152	74	211	85	136	68	187	165
98	128	79	113	26	101	134	177	102	184	202	40	103	33	59	85	211	76	20	28	49
81	20	121	125	146	145	180	20	34	55	156	132	182	84	174	136	76	211	167	71	109
104	47	117	144	45	116	24	20	198	63	96	42	123	175	39	68	20	167	211	20	64
72	150	160	162	41	90	88	195	66	27	181	183	61	114	20	187	28	71	20	211	50
73	190	30	20	208	20	200	194	80	65	205	173	197	62	170	165	49	109	64	50	211
