4096	911	1829	4031	2965	757	2294	2347	3509	829	2043	90	3398	2617	4053	2367	3219	1654	4004	2597	551	2534	2159	845	476	1389	136	3716	2957	200	1555	1287	1917	2716	3352	2186	2616	1071	1769	2555	2372	323	1839	606	414	1336	1399	1757	1561	3194	501	1548	2830	3695	4091	3861	1904	173	2949	3152	3210	1257	1892	2674	3034	1854	2586	2455	305	1088	2424	3182	1686	515	2228	3297	1477	2075	2939	131	2157	1497	3327	1261	2577	1676	3993	2783	2625	1141	1880
911	4096	2841	226	2495	3613	2148	1950	1427	3603	2329	805	3294	328	3724	623	324	892	3288	2529	3344	3056	3919	2840	1216	4055	972	3072	1344	3641	1283	1573	3981	1635	2345	590	2581	3661	299	2982	2193	2732	3740	1638	3593	2874	3769	3134	3650	90	2775	1217	1042	1293	1855	2428	221	1885	234	3667	1739	2246	3759	1465	2470	3690	567	2223	162	3243	3812	2962	1795	472	1436	917	3983	3869	762	2220	1900	4025	1737	3092	2011	849	2887	2476	3462	3137	1443
1829	2841	4096	1292	2076	2770	1851	3186	3622	2374	707	3254	2825	3273	1163	2324	90	815	3423	408	3747	2080	1656	3832	3418	2520	1781	3116	1615	3643	2426	3820	2873	4072	1126	1906	1964	141	1667	3635	1868	2800	90	3696	90	3252	3873	1215	3545	98	1968	3415	3369	353	3105	3594	1263	2166	3457	2309	2527	1589	1208	1403	1961	3122	2839	527	1372	4082	1643	1878	1944	3765	572	401	3811	1270	2882	2184	1970	1606	1392	833	2681	3135	928	1804	3836	3296	1347
4031	226	1292	4096	650	1207	2607	2843	3709	3444	3274	418	90	4037	3146	1732	3346	2416	479	251	446	3571	2587	981	1265	3001	457	2395	942	1490	1943	1849	2537	4085	2191	239	1990	3224	1772	345	2480	3929	640	1370	1570	3166	3847	3379	4007	2226	953	283	1356	3703	1331	993	3751	4093	3842	3531	969	276	498	3728	2771	3800	3707	2585	3932	785	1181	628	3490	3921	3997	960	1310	2869	1825	2922	2649	1896	2548	789	121	1719	743	2098	4013	1136	247
2965	2495	2076	650	4096	1157	90	2272	3787	2700	962	918	90	1649	3488	2299	327	1671	1509	1115	923	2124	901	3140	3900	3831	1090	970	3630	2759	3175	900	3113	441	3517	1282	2242	3208	1918	214	1100	1523	2838	464	1621	3487	1167	562	1258	2776	1266	2993	3986	2930	2072	3339	2155	392	3417	745	2074	466	1158	3662	2582	2262	4081	3120	3875	3906	2172	116	1398	2319	484	1929	3237	1888	2029	3059	326	2556	1081	1979	3256	2665	1511	205	2827	3918	1695
757	3613	2770	1207	1157	4096	3954	398	90	3356	3790	368	1393	2705	3760	1491	2231	2950	2162	1065	556	2768	90	3620	1627	2194	4046	3154	557	3693	3329	478	597	102	120	3195	291	159	681	1384	2963	3476	2288	867	2786	3301	3656	3938	3810	3442	2637	3118	3757	2606	1975	1821	3512	790	2208	773	1013	1450	2646	506	1798	272	2673	1534	1461	2504	1512	4088	2757	3778	2313	733	389	3229	367	1348	3386	2234	2895	1954	1188	1363	2454	2199	702	2118	747
2294	2148	1851	2607	90	3954	4096	3299	852	1536	605	1350	3010	1864	1603	959	306	2997	1919	2440	2085	3901	3718	1898	2971	1053	1028	2340	2276	1476	3400	3502	2943	1499	3107	1440	383	1003	3061	3654	1001	252	2265	3393	2320	4059	1780	2632	2213	1619	2980	2386	2652	2573	2884	718	594	1962	2093	1209	1640	3736	164	1706	2676	1048	1156	3804	2380	2960	3872	3785	3291	3887	3193	1698	2894	1912	579	3775	3949	1824	1152	3519	2837	2160	1549	1077	3139	3941	2123
2347	1950	3186	2843	2272	398	3299	4096	206	693	913	553	3169	358	90	122	711	904	3632	2190	4086	2569	3051	1803	2628	902	1274	313	3126	3513	2087	1778	3321	630	90	2487	2066	1180	2053	2730	1762	665	3913	1025	2844	3449	1814	3945	3078	3777	1586	3081	2023	1388	3721	3473	1102	2284	596	1960	2101	1633	1319	3157	150	2161	574	1273	1522	2909	1105	1533	399	1308	362	249	2169	3624	2541	2633	3715	885	1278	3615	3090	4052	3080	2819	1073	2012	3668
3509	1427	3622	3709	3787	90	852	206	4096	2201	1343	726	1200	2478	2675	487	336	2613	1948	3678	2603	4032	2433	1761	2355	4022	1226	984	1038	1691	2595	1658	370	2006	429	3164	1934	285	2316	535	1579	584	1468	2103	248	1520	2279	426	3566	653	2108	3908	386	3042	2508	850	629	2567	3410	801	2212	90	615	2692	3363	1435	3651	2846	2526	2216	332	734	1187	1869	2807	3101	1963	387	3749	1359	422	1572	537	1312	1818	1946	3004	1881	1902	132	1862
829	3603	2374	3444	2700	3356	1536	693	2201	4096	526	2999	2306	631	4073	1254	3638	307	566	3982	2845	2290	1341	2834	1228	388	592	300	3047	3093	146	1355	3712	2052	2019	3033	2273	2694	1211	290	694	320	3353	4000	3535	2233	2197	188	796	1447	2551	2690	2892	2911	886	3568	3497	782	4016	2518	2037	2883	2004	3553	3100	90	1026	1857	1298	820	3378	223	862	769	1585	3910	1418	735	2687	1128	2472	1890	2915	561	1498	828	2082	625	2833	1245	2364
