211	161	163	134	122	26	67	101	80	52	20	20	55	106	64	85	104	79	138	91	40
161	211	210	20	179	184	100	157	70	151	147	93	96	113	135	137	166	186	169	152	172
163	210	211	182	33	20	83	65	204	185	108	20	20	71	180	20	205	57	140	116	20
134	20	182	211	189	148	38	20	209	159	58	98	72	198	20	39	32	162	81	200	44
122	179	33	189	211	49	191	192	160	145	201	22	187	20	66	87	139	29	20	75	45
26	184	20	148	49	211	193	136	107	42	132	207	121	37	129	115	130	120	30	25	54
67	100	83	38	191	193	211	41	170	103	174	20	141	167	111	190	173	61	99	123	119
101	157	65	20	192	136	41	211	112	60	199	20	82	197	178	165	63	92	196	43	53
80	70	204	209	160	107	170	112	211	90	195	168	171	126	77	51	20	142	158	110	69
52	151	185	159	145	42	103	60	90	211	181	31	20	143	154	194	146	23	114	164	177
20	147	108	58	201	132	174	199	195	181	211	117	89	88	155	46	34	76	68	35	94
20	93	20	98	22	207	20	20	168	31	117	211	47	109	150	208	125	175	20	20	176
55	96	20	72	187	121	141	82	171	20	89	47	211	84	50	153	20	74	156	21	203
106	113	71	198	20	37	167	197	126	143	88	109	84	211	131	28	97	183	188	24	128
64	135	180	20	66	129	111	178	77	154	155	150	50	131	211	133	59	78	62	149	86
85	137	20	39	87	115	190	165	51	194	46	208	153	28	133	211	127	144	124	36	95
104	166	205	32	139	130	173	63	20	146	34	125	20	97	59	127	211	105	56	102	118
79	186	57	162	29	120	61	92	142	23	76	175	74	183	78	144	105	211	48	20	73
138	169	140	81	20	30	99	196	158	114	68	20	156	188	62	124	56	48	211	202	206
91	152	116	200	75	25	123	43	110	164	35	20	21	24	149	36	102	20	202	211	27
40	172	20	44	45	54	119	53	69	177	94	176	203	128	86	95	118	73	206	27	211
