1276	1070	997	455	1193	1086	1044	810	407	327	1038	349	914	467	594	50	1137	772	119	869	50	67	967	337	822	638	446	397	710	781	596	764	995	77	93	504	106	1051	1180	868	891	97	1107	954	911	50	1233	1011	1069	418	111
1070	1276	1021	142	121	1155	186	1074	555	281	1165	739	509	1189	50	92	50	495	873	635	290	117	1037	1166	1071	770	736	459	525	950	620	1139	102	636	760	472	1031	713	50	674	580	150	917	557	129	436	141	1050	161	718	185
997	1021	1276	1257	901	280	476	50	538	701	50	494	123	193	231	451	922	727	1111	50	334	1025	55	623	210	1056	1205	703	1104	865	882	1262	726	1183	427	653	1115	328	575	437	1258	50	1034	811	610	1100	660	1003	794	705	76
455	142	1257	1276	663	460	738	962	793	532	679	457	296	1201	656	1194	368	1239	527	578	116	167	956	412	879	219	50	1153	133	243	786	991	470	1065	469	430	479	1110	70	422	343	749	112	941	926	175	225	85	651	778	831
1193	121	901	663	1276	61	468	435	1158	1185	50	982	256	969	285	1033	153	50	192	518	168	524	50	750	758	298	928	862	485	992	354	1148	183	630	99	1120	923	1134	958	553	809	1109	83	353	819	689	894	149	1251	562	178
1086	1155	280	460	61	1276	303	405	487	50	441	1184	665	1036	326	797	399	311	627	961	915	497	606	1022	332	54	994	1062	686	465	1079	695	581	670	342	50	667	924	376	881	839	990	270	833	905	1052	134	1127	743	817	1029
1044	186	476	738	468	303	1276	1203	335	804	1217	1117	568	1030	818	1273	693	1238	122	50	1246	768	1112	1252	619	600	50	322	1176	1093	1241	1267	87	863	551	896	477	963	184	1261	789	597	426	959	539	232	1147	53	269	1247	440
810	1074	50	962	435	405	1203	1276	586	780	965	300	389	1248	517	511	482	531	374	506	844	103	152	503	502	559	935	179	955	1061	777	607	272	685	107	655	1249	885	131	341	888	1081	752	50	105	765	1016	1059	813	614	299
407	555	538	793	1158	487	335	586	1276	1226	363	194	843	974	195	228	855	1209	815	1125	842	98	715	690	1230	264	788	227	697	415	373	1164	292	1154	120	1163	907	805	1169	540	535	50	1265	986	501	826	766	246	629	333	69
327	281	701	532	1185	50	804	780	1226	1276	350	301	854	62	50	731	409	672	1082	1235	762	528	816	837	312	918	799	1149	1101	1224	1048	151	398	101	320	126	1223	546	490	985	65	613	265	584	1186	1274	154	767	60	1092	309
1038	1165	50	679	50	441	1217	965	363	350	1276	1196	449	514	1200	1090	867	742	1181	360	1245	756	878	1129	1264	1146	287	1271	1195	744	700	355	433	593	541	198	294	317	1053	1255	1007	1215	1119	587	286	56	50	576	249	110	255
349	739	494	457	982	1184	1117	300	194	301	1196	1276	662	733	1256	1113	276	1040	953	1026	1171	1121	1199	357	520	1103	632	1002	975	207	977	545	1222	740	1096	569	960	1162	712	1188	463	829	319	708	779	384	50	720	699	659	464
