n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
30	0.6	1	455.808	543.854	466.555	543.854	564.008	552.908	552.908
30	0.6	2	366.924	460.694	406.831	461.268	498.399	482.898	474.726
30	0.6	3	315.027	375.545	328.121	375.545	407.767	380.844	380.844
30	0.6	4	406.057	489.826	433.867	490.215	501.102	499.835	499.835
30	0.6	5	501.26	553.641	511.537	553.72	576.636	559.749	558.997
30	0.6	6	337.345	420.217	366.447	420.217	466.094	432.338	432.338
30	0.6	7	410.237	469.766	427.444	469.819	483.977	478.422	478.422
30	0.6	8	400.291	482.246	416.253	482.246	502.932	485.715	485.715
30	0.6	9	322.581	393.939	352.337	394.492	418.084	402.363	402.363
30	0.6	10	365.725	446.698	375.061	446.698	462.829	453.662	453.662
