n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
10	0.6	1	258.558	277.198	266.492	277.198	293.204	280.171	280.171
10	0.6	2	284.471	312.331	288.051	312.332	314.871	312.816	312.816
10	0.6	3	253.335	289.793	266.785	289.902	315.652	295.447	295.447
10	0.6	4	254.859	271.401	259.655	271.401	310.556	273.343	273.343
10	0.6	5	220.637	268.156	241.331	269.089	286.089	275.698	275.698
10	0.6	6	225.533	251.363	245.153	251.899	253.155	253.155	253.155
10	0.6	7	258.873	263.874	261.613	263.874	272.213	265.258	265.258
10	0.6	8	230.544	254.521	247.509	254.544	273.005	257.154	257.154
10	0.6	9	221.507	251.28	239.65	252.17	256.154	256.154	256.154
10	0.6	10	176.74	191.155	185.428	195.06	201.878	201.878	201.878
