n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
40	0.2	1	638.326	694.766	646.892	694.766	710.173	696.309	696.309
40	0.2	2	589.759	659.323	615.303	662.481	685.386	668.079	668.079
40	0.2	3	737.287	835.667	765.107	835.7	879.599	848.605	848.605
40	0.2	4	604.327	673.465	623.388	673.555	690.401	686.148	686.148
40	0.2	5	799.598	907.417	815.469	907.417	933.712	913.749	913.749
40	0.2	6	672.072	786.605	688.801	786.605	821.385	791.396	791.396
40	0.2	7	716.012	831.545	731.953	831.545	873.284	842.194	840.745
40	0.2	8	663.943	747.992	687.748	748.172	764.735	757.783	757.783
40	0.2	9	698.664	804.098	742.927	807.982	820.884	817.894	817.894
40	0.2	10	614.896	681.58	631.598	681.58	697.987	685.858	685.858
