n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
40	0.4	1	523.462	578.231	530.112	578.231	621.55	582.897	582.897
40	0.4	2	519.144	572.563	539.956	573.411	583.125	578.044	578.044
40	0.4	3	524.857	631.694	545.516	631.694	658.368	643.897	643.059
40	0.4	4	451.103	553.916	478.351	554.16	569.461	561.656	561.656
40	0.4	5	581.491	651.378	586.445	651.378	697.744	659.892	659.892
40	0.4	6	528.022	618.488	544.433	618.507	644.267	629.676	628.801
40	0.4	7	554.588	652.691	564.464	652.691	679.871	662.316	662.316
40	0.4	8	492.922	554.358	521.33	556.312	575.24	564.009	564.009
40	0.4	9	477.805	558.95	494	558.95	576.351	563.287	563.287
40	0.4	10	446.64	532.843	474.733	532.991	546.844	544.501	544.501
