n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
50	0.6	1	585.793	669.033	597.824	669.033	707.846	680.997	680.633
50	0.6	2	511.482	602.008	519.762	602.008	617.669	612.843	608.344
50	0.6	3	589.352	683.606	602.541	683.606	706.973	692.488	692.488
50	0.6	4	523.593	665.39	547.406	665.39	697.69	678.222	677.951
50	0.6	5	478.594	564.808	508.956	565.723	609.528	587.975	587.975
50	0.6	6	541.981	653.498	557.588	653.534	687.263	664.392	663.176
50	0.6	7	571.603	706.883	582.303	706.883	749.123	742.487	740.78
50	0.6	8	569.552	687.639	597.448	688.134	702.153	694.842	694.842
50	0.6	9	540.468	621.798	558.202	621.798	645.642	635.114	635.114
50	0.6	10	530.878	637.848	543.121	637.848	662.347	641.293	641.293
