n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
40	0.6	1	456.994	506.043	463.608	506.043	549.307	510.851	510.851
40	0.6	2	446.116	497.194	456.773	497.476	525.923	509.159	509.159
40	0.6	3	466.684	594.29	491.099	594.29	621.768	609.28	609.28
40	0.6	4	358.967	457.944	380.357	458.056	486.484	467.315	467.315
40	0.6	5	534.92	610.948	541.873	610.948	636.246	617.361	617.361
40	0.6	6	487.517	566.894	499.805	566.894	595.126	572.986	572.986
40	0.6	7	459.884	567.845	469.339	567.845	594.284	578.635	575.318
40	0.6	8	429.372	503.371	461.456	505.886	519.973	513.914	513.914
40	0.6	9	434.13	512.263	447.988	512.263	527.137	516.637	516.637
40	0.6	10	435.291	509.883	464.232	510.053	528.266	522.596	522.596
