n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
40	0.8	1	410.823	468.862	417.013	468.862	504.842	472.966	472.966
40	0.8	2	396.87	454.122	407.179	454.122	478.357	467.312	467.312
40	0.8	3	419.575	548.507	447.005	548.507	571.85	561.811	560.237
40	0.8	4	335.012	435.71	354.825	435.73	456.985	446.377	446.377
40	0.8	5	417.992	498.218	428.281	498.218	522.284	507.538	507.538
40	0.8	6	422.135	523.777	433.301	523.777	537.483	531.018	531.018
40	0.8	7	438.607	528.366	444.6	528.366	554.973	534.691	533.08
40	0.8	8	405.521	487.205	437.338	490.115	507.819	501.781	501.781
40	0.8	9	382.202	465.542	400.945	465.721	485.188	470.018	470.018
40	0.8	10	407.211	476.777	437.002	477.317	492.094	489.204	489.204
