n	dens	rep	LPR0	LPR1	LPR2	LPR3	G	LS	optVal
20	0.6	1	315.664	328.145	322.228	328.145	359.045	328.222	328.222
20	0.6	2	415.912	455.779	423.546	455.878	467.525	466.776	462.297
20	0.6	3	348.347	418.079	367.567	418.405	433.433	433.433	433.162
20	0.6	4	305.416	390.41	316.995	390.41	407.68	404.162	404.162
20	0.6	5	312.518	388.964	344.956	389.088	400.936	400.741	400.741
20	0.6	6	274.818	311.06	292.548	311.076	336.814	332.047	332.047
20	0.6	7	335.132	379.01	339.82	379.01	398.612	383.005	383.005
20	0.6	8	338.783	373.163	349.567	373.163	387.394	381.223	379.687
20	0.6	9	320.129	380.575	333.593	380.575	385.117	384.758	384.758
20	0.6	10	312.259	356.011	323.217	356.011	415.811	360.229	360.229
