48	7	65
70	71	27
26	40	61
67	60	58
98	29	52
88	4	9
28	39	66
14	81	48
86	93	93
18	45	36
15	78	88
93	31	66
80	33	90
43	42	97
34	12	5
40	96	88
27	100	45
100	36	46
49	40	94
94	89	57
1	72	14
42	38	94
66	24	21
55	23	48
73	68	75
36	12	26
77	50	31
98	55	46
72	31	65
58	95	96
43	91	40
6	77	43
9	73	22
42	77	32
63	96	100
57	27	22
21	63	25
18	24	72
3	95	8
39	77	67
27	59	23
41	22	93
40	29	75
61	64	32
65	34	66
70	22	54
63	80	75
58	10	42
10	35	28
27	65	53
53	52	17
91	15	4
71	53	22
46	53	6
8	47	2
73	83	68
16	9	68
54	86	69
1	50	13
72	64	39
38	10	71
43	30	24
91	83	94
1	92	31
13	52	30
99	25	0
40	85	23
24	11	30
1	77	37
47	60	80
82	57	56
