43	28	57
10	29	9
32	52	28
52	21	98
66	32	73
14	14	29
32	52	80
52	27	83
18	51	61
18	75	32
48	15	84
42	57	73
18	84	93
28	47	90
14	39	31
65	78	39
14	70	57
35	80	6
59	70	32
51	36	37
28	9	19
27	83	56
33	82	38
79	71	69
51	37	0
0	51	15
0	34	51
65	98	89
80	44	79
87	2	89
10	89	8
10	46	86
99	41	36
25	44	37
82	84	2
65	64	96
81	53	23
83	62	26
86	14	61
21	88	66
79	32	48
82	41	28
33	13	56
6	37	19
12	74	15
86	7	81
26	20	57
55	52	57
39	50	7
57	67	55
34	73	70
64	65	96
0	80	97
43	62	47
47	43	34
46	45	66
20	15	51
99	64	40
56	0	42
86	61	15
62	9	90
0	80	38
17	99	30
3	30	20
62	49	15
54	27	82
3	25	56
8	3	65
91	1	37
35	52	44
70	4	26
17	52	64
92	32	63
79	50	49
90	84	14
67	91	63
11	21	97
36	89	9
66	46	54
92	23	29
73	50	71
73	96	86
65	35	52
45	54	65
25	66	98
68	42	34
79	13	95
50	40	9
11	17	77
15	35	34
79	94	65
74	70	98
26	21	76
18	80	36
92	35	62
56	46	8
1	36	41
41	44	30
67	86	33
1	21	1
49	6	80
0	9	78
86	1	58
4	38	28
63	20	79
95	65	47
13	34	95
82	65	51
100	30	91
92	10	53
30	70	14
56	69	55
45	98	50
38	48	31
27	3	10
59	76	59
4	60	29
46	93	93
14	72	6
1	29	55
60	100	59
