82	79	14
88	38	24
85	25	74
89	78	52
97	21	61
96	50	91
13	1	13
11	46	90
63	48	14
92	78	74
2	33	0
44	8	67
51	93	38
87	80	97
19	2	88
11	74	69
6	12	66
16	21	99
94	73	59
92	32	86
87	2	100
55	17	3
22	69	20
85	98	52
24	95	41
35	76	81
83	63	5
85	0	9
39	40	67
22	64	63
91	15	92
18	8	63
11	98	14
30	25	36
37	41	69
49	67	6
63	46	66
43	89	100
8	54	38
58	76	98
16	41	19
94	1	57
75	35	80
44	18	8
36	43	64
100	5	89
85	65	54
26	95	23
52	38	18
27	40	99
59	56	29
24	99	81
16	63	28
42	51	4
4	53	52
75	36	10
61	9	86
90	68	98
48	81	5
23	72	83
19	24	52
69	22	62
62	94	99
15	28	75
14	23	47
34	94	55
32	8	79
98	25	55
58	25	53
90	50	52
21	89	83
3	2	34
56	97	97
67	22	50
58	99	42
86	18	86
47	16	71
22	71	87
71	69	4
95	44	63
16	92	46
66	52	66
82	15	25
5	3	14
49	69	2
52	89	27
74	28	44
26	29	44
25	72	55
89	7	42
7	82	53
8	17	43
85	66	62
36	17	93
51	90	90
98	63	56
42	54	76
10	5	86
19	18	64
20	97	67
55	8	37
45	50	68
72	52	70
82	29	35
69	66	31
89	74	2
21	88	16
8	53	77
90	25	13
91	45	72
56	39	7
