34	91	23
85	78	17
15	93	10
28	74	5
55	8	3
93	70	36
94	16	33
85	31	63
69	86	59
60	25	54
33	21	79
76	79	52
31	74	4
100	48	7
95	26	59
82	64	37
41	25	55
43	26	44
12	78	0
57	53	29
38	9	28
3	97	85
18	0	32
44	74	4
64	83	98
41	24	62
2	23	97
3	83	68
6	43	61
44	48	71
27	67	43
65	96	79
45	59	44
76	2	45
88	43	7
8	80	73
91	35	88
20	55	73
58	83	72
58	10	62
93	12	6
6	66	65
63	84	89
69	40	7
48	95	57
84	65	25
4	61	1
11	82	62
4	95	14
11	82	75
2	77	2
2	88	23
12	67	0
12	0	68
18	62	60
61	11	80
47	15	20
22	53	28
70	30	57
51	8	66
61	52	3
77	79	24
69	99	49
43	17	2
79	2	37
41	70	13
50	45	85
78	42	58
72	61	29
78	34	26
77	79	72
96	7	86
84	83	65
56	98	1
31	58	63
57	24	77
17	85	53
65	19	30
30	6	97
35	27	44
36	9	53
24	29	76
9	8	3
77	23	40
17	55	42
19	95	64
24	33	50
69	79	95
40	16	58
45	15	52
39	23	79
