82	22	9
79	90	1
9	76	61
54	95	83
68	73	94
35	32	48
66	55	81
55	18	68
81	92	16
65	31	100
22	18	53
8	31	75
61	72	34
10	31	20
79	28	44
50	34	23
15	29	58
74	26	18
59	68	63
78	31	32
59	92	85
22	11	28
71	46	97
0	20	87
74	98	31
50	29	31
58	48	90
43	19	58
91	81	81
5	9	24
30	36	79
76	55	45
41	51	89
83	35	92
18	33	79
60	78	75
30	62	48
57	67	29
20	32	61
66	28	67
96	35	29
26	81	2
22	31	33
0	55	7
75	22	48
36	80	0
2	44	43
93	46	22
83	4	11
12	25	98
79	23	3
96	31	26
33	15	29
69	12	65
93	84	77
40	14	57
61	100	89
40	17	85
91	22	83
86	39	12
98	98	24
46	72	56
51	82	16
64	84	75
36	21	95
64	54	84
19	14	96
29	65	88
47	81	83
44	11	1
98	43	84
69	33	35
21	8	33
9	2	5
60	77	68
72	97	8
79	81	12
4	77	69
10	86	72
8	31	85
2	100	14
77	74	33
79	65	68
13	18	5
59	84	51
58	67	96
18	30	56
1	19	82
86	81	59
15	26	15
16	73	18
