74	96	2
83	8	51
25	22	90
36	54	22
14	63	0
4	61	94
75	78	41
61	32	86
55	94	32
95	2	72
90	49	21
63	77	36
73	53	46
81	8	100
33	79	26
58	68	91
14	31	62
54	73	67
9	78	27
42	24	42
27	6	99
73	100	2
53	38	34
74	56	26
23	92	97
79	72	23
7	45	67
8	93	23
82	88	42
52	12	61
69	90	73
77	98	58
78	34	62
69	53	42
12	82	15
8	8	23
49	5	56
33	92	38
36	30	14
82	48	87
44	2	22
73	69	76
76	48	66
47	54	8
53	99	46
14	91	32
29	55	74
60	18	28
84	4	15
81	99	50
33	35	58
94	12	26
53	28	83
51	47	50
29	83	5
32	37	77
23	5	33
30	59	37
26	76	60
0	34	95
52	99	48
26	4	71
94	80	11
67	42	9
19	33	97
0	79	37
76	93	15
29	50	6
38	97	34
6	36	58
76	41	84
0	49	16
4	98	16
4	97	50
48	47	34
86	78	93
52	42	42
37	96	30
24	43	4
40	34	93
69	74	83
