n	rep	time	value	gap	LPvalue	H0	H1
110	1	391.652	1485.67	0	1473.41	1511.94	1485.67
110	2	1200.13	1473.25	0.581842	1454.39	1516.85	1475.38
110	3	1200.11	1363.15	0.567726	1344.86	1383.11	1363.15
110	4	686.329	1348.87	0	1334.87	1386.99	1348.87
110	5	1200.04	1436.52	0.381856	1418.3	1481.71	1436.52
110	6	1200.04	1317.88	0.0347998	1302.66	1406.3	1318.21
110	7	857.271	1458.98	0	1448.94	1494.09	1459.29
110	8	770.748	1494.39	0	1481.72	1555.98	1494.39
110	9	1200.03	1399.51	0.329091	1379.17	1456.31	1399.51
110	10	1200.13	1395.14	0.413837	1377.85	1424.54	1395.14
