n	rep	time	value	gap	LPvalue	H0	H1
90	1	1200.99	780.705	1.678	764.955	796.809	780.705
90	2	1200.13	757.357	1.70342	738.891	783.906	757.357
90	3	1201	783.846	0.710721	773.541	791.183	783.846
90	4	1200.05	826.868	1.54886	809.748	849.44	828.023
90	5	1200.63	746.299	0.261244	738.387	756.409	747.633
90	6	1200.08	835.231	0.594754	823.638	862.948	835.231
90	7	1200.65	767.613	2.10134	748.789	784.802	767.613
90	8	1200.3	815.871	1.40413	798.816	851.785	815.871
90	9	1200.04	727.007	1.4932	710.354	736.069	727.007
90	10	1200.06	772.621	2.29283	751.593	793.203	772.621
