n	rep	time	value	gap	LPvalue	H0	H1
60	1	144.692	715.677	0	700.832	751.239	716.023
60	2	87.371	725.831	0	714.43	749.746	725.831
60	3	84.928	725.676	0	718.507	746.619	725.676
60	4	350.884	713.631	0	697.389	716.595	713.631
60	5	43.227	744.787	0	736.364	770.15	744.787
60	6	337.018	774.601	0	755.016	780.644	774.601
60	7	1200.06	734.903	0.791249	714.022	757.069	734.903
60	8	115.945	770.695	0	758.109	782.384	770.695
60	9	47.361	622.244	0	615.596	630.561	622.244
60	10	66.216	648.143	0	642.048	670.545	648.143
