n	rep	time	value	gap	LPvalue	H0	H1
50	1	21.868	587.741	0	580.587	602.666	587.741
50	2	418.562	530.522	0	516.57	544.178	531.734
50	3	18.055	580.173	0	575.803	583.426	580.173
50	4	36.371	544.501	0	537.229	571.543	544.501
50	5	1200.06	544.697	1.51803	520.238	569	549.693
50	6	152.377	595.036	0	582.237	613.104	595.036
50	7	1200.06	625.573	0.373734	594.619	637.88	626.019
50	8	19.934	590.879	0	586.262	601.982	590.879
50	9	68.829	562.14	0	552.858	578.508	562.14
50	10	25.005	562.426	0	557.885	575.336	562.426
