n	rep	time	value	gap	LPvalue	H0	H1
100	1	1200.04	1401.07	1.03673	1379.21	1441.21	1401.07
100	2	1200.06	1340.64	0.19434	1320.78	1398.33	1340.64
100	3	1079.5	1256.03	0	1234.36	1350.33	1256.03
100	4	573.736	1422.09	0	1406.2	1445.77	1422.09
100	5	292.167	1279.67	0	1265.97	1314.27	1279.67
100	6	282.389	1325.29	0	1311.51	1369.02	1325.29
100	7	256.17	1378.19	0	1362.17	1435.84	1378.19
100	8	240.325	1426.74	0	1416.8	1476.9	1426.74
100	9	1200.04	1333.79	1.35201	1308.14	1368.41	1337.27
100	10	1200.04	1420.54	0.567683	1398.59	1496.9	1433.76
