n	rep	time	value	gap	LPvalue	H0	H1
70	1	1200.11	924.437	1.30633	898.7	931.871	927.181
70	2	163.822	860.711	0	842.793	888.963	860.711
70	3	48.876	870.353	0	863.459	897.872	870.353
70	4	57.41	882.404	0	876.617	897.907	882.404
70	5	120.815	908.873	0	888.889	943.631	908.873
70	6	73.173	866.324	0	854.07	882.087	866.324
70	7	1200.04	913.641	1.12856	886.695	923.797	914.048
70	8	530.53	789.014	0	772.252	801.324	791.407
70	9	75.556	722.991	0	714.061	762.42	722.991
70	10	436.942	1003.98	0	980.017	1043.46	1006.23
