n	rep	time	value	gap	LPvalue	H0	H1
90	1	1200.57	870.021	1.60884	848.762	880.608	870.021
90	2	1200.12	956.83	1.14486	939.258	987.056	956.83
90	3	1200.05	941.155	0.387326	929.986	959.557	941.155
90	4	1200.04	962.863	0.318524	949.078	986.936	963.78
90	5	1165.6	861.559	0	851.393	870.783	861.559
90	6	1200.03	1017.68	0.17341	1008.74	1035.4	1017.68
90	7	1200.13	905.629	1.17479	884.649	947.216	907.979
90	8	1200.05	903.253	0.510745	887.551	931.161	903.253
90	9	856.886	861.454	0	852.433	887.187	861.454
90	10	1200.14	884.252	0.710078	869.495	913.948	890.074
