n	rep	time	value	gap	LPvalue	H0	H1
60	1	365.448	670.625	0	652.277	685.912	673.025
60	2	324.303	681.906	0	669.503	709.56	681.906
60	3	134.157	655.159	0	648.645	665.528	655.159
60	4	1200.19	651.614	1.32607	630.411	665.727	651.614
60	5	51.733	662.849	0	652.599	673.933	662.849
60	6	1200.03	680.802	0.0156458	664.06	687.062	680.802
60	7	263.291	636.436	0	621.595	654.829	636.436
60	8	73.733	653.5	0	644.149	668.675	653.5
60	9	131.888	579.917	0	573.105	590.857	579.917
60	10	62.965	576.684	0	571.283	586.041	576.684
