n	rep	time	value	gap	LPvalue	H0	H1
90	1	184.285	1186.02	0	1175.43	1215.4	1186.02
90	2	682.016	1302.59	0	1283.93	1344.5	1307.49
90	3	287.978	1432.83	0	1415.51	1490.65	1432.83
90	4	160.985	1321.04	0	1311.08	1366.66	1321.04
90	5	99.506	1286.77	0	1276.61	1322.56	1289.28
90	6	154.322	1301.55	0	1290.72	1346.59	1309.63
90	7	190.972	1254.7	0	1239.68	1289.51	1254.7
90	8	74.796	1176.39	0	1166.33	1211.55	1176.39
90	9	176.097	1296.25	0	1281.29	1342.72	1296.25
90	10	1199.88	1313.34	0	1295.42	1341.56	1313.34
