n	rep	time	value	gap	LPvalue	H0	H1
90	1	1200.93	820.165	2.01707	798.117	836.355	820.165
90	2	1200.05	869.126	0.745158	853.673	897.443	869.126
90	3	1200.07	840.748	0.692679	829.904	850.508	840.748
90	4	1200.06	880.144	0.848931	868.94	896.097	883.074
90	5	1200.04	783.211	0.218199	773.903	801.603	783.211
90	6	1201.02	871.195	0.645198	857.96	897.072	871.195
90	7	1200.11	808.055	0.797137	793.169	827.667	808.055
90	8	1200.75	877.032	1.30564	859.594	892.003	877.032
90	9	1200.67	789.395	1.83093	770.154	806.31	789.395
90	10	1201.14	818.976	2.05483	796.517	836.721	818.976
