n	rep	time	value	gap	LPvalue	H0	H1
80	1	1200.63	840.956	0.583945	822.836	858.614	840.956
80	2	1200.3	737.275	0.166229	724.868	754.872	737.275
80	3	1200.17	750.037	0.719454	736.387	760.394	750.037
80	4	1200.04	795.815	0.652745	779.455	821.572	795.815
80	5	1200.14	771.503	1.2997	754.254	796.277	771.503
80	6	1200.09	785.792	2.27105	762.667	802.628	785.792
80	7	764.196	777.114	0	765.368	783.752	777.114
80	8	1200.61	823.665	1.09335	807.028	833.262	823.665
80	9	855.678	811.301	0	801.183	828.183	812.357
80	10	625.827	823.171	0	813.719	856.18	826.138
