n	rep	time	value	gap	LPvalue	H0	H1
70	1	819.034	713.359	0	695.143	741.749	726.51
70	2	1198.19	769.014	0	751.659	797.056	769.611
70	3	90.649	811.69	0	805.483	842.179	811.69
70	4	309.682	775.102	0	761.904	798.716	775.102
70	5	1200.08	812.564	0.0809113	796.989	818.736	815.217
70	6	1200.03	818.563	1.02474	797.529	829.639	818.563
70	7	1200.07	747.301	0.928578	727.707	755.657	747.301
70	8	373.292	715.924	0	702.993	724.198	715.924
70	9	427.48	671.829	0	659.521	702.939	671.829
70	10	1200.08	843.086	0.510849	820.108	882.994	847.049
