n	rep	time	value	gap	LPvalue	H0	H1
80	1	545.789	893.838	0	880.071	912.723	894.384
80	2	181.053	821.618	0	814.785	851.972	822.446
80	3	1200.04	826.204	0.80775	808.192	846.017	827.228
80	4	736.604	892.034	0	878.353	915.846	892.034
80	5	1200.04	839.85	0.763981	822.046	863.131	839.85
80	6	1200.18	885.646	2.07416	859.728	916.476	885.646
80	7	782.177	867.191	0	854.666	875.073	867.191
80	8	1200.08	897.808	0.0800128	885.614	927.894	897.808
80	9	1200.05	867.402	0.843637	849.259	880.719	872.286
80	10	144.562	877.569	0	871.257	903.317	877.569
