n	rep	time	value	gap	LPvalue	H0	H1
100	1	1200.19	1006.59	0.0478914	998.845	1035.49	1006.59
100	2	1201.15	899.102	3.42692	866	922.359	899.102
100	3	1200.73	922.101	0.119059	910.62	950.831	922.101
100	4	1200.16	980.87	0.938626	967.626	1014.96	981.739
100	5	1200.86	896.889	1.23243	880.606	928.568	896.889
100	6	1200.03	1016.45	0.417024	1005.37	1038.59	1016.45
100	7	1200.57	1001.11	0.386978	986.141	1037.67	1002.91
100	8	1200.97	998.461	1.36714	980.512	1027.8	998.461
100	9	1200.04	979.71	0.754264	967.054	994.712	979.71
100	10	1200.22	945.215	1.4644	929.122	966.687	949.08
