n	rep	time	value	gap	LPvalue	H0	H1
80	1	592.512	1270.04	0	1248.02	1314.61	1271.92
80	2	57.352	1135.43	0	1128.27	1186.39	1140.37
80	3	484.106	1282.4	0	1262.98	1297.31	1282.45
80	4	158.931	1212.71	0	1197.88	1235.39	1213.89
80	5	182.618	1206.79	0	1192.34	1256.07	1206.79
80	6	130.687	1219.52	0	1201.29	1232.37	1219.78
80	7	44.233	1332.66	0	1327.06	1435.08	1332.66
80	8	28.632	1199.65	0	1192.94	1253.68	1199.75
80	9	184.555	1207.48	0	1186.81	1236.54	1207.48
80	10	83.212	1331.43	0	1318.92	1375.52	1331.43
