n	rep	time	value	gap	LPvalue	H0	H1
90	1	1200.12	969.94	0.750702	950.513	983.63	969.94
90	2	1200.1	1068.76	0.854071	1051.48	1107.12	1068.76
90	3	1200.19	1043.54	0.731438	1029.08	1056.41	1044.18
90	4	1200.24	1098.04	1.27115	1075.45	1112.3	1098.04
90	5	1200.04	995.997	0.0424573	982.115	1015.39	996.501
90	6	306.502	1089.32	0	1080.2	1106.04	1089.97
90	7	1200.04	1012.29	0.168357	997.451	1031.82	1012.29
90	8	784.205	1011.25	0	996.719	1048.04	1011.25
90	9	372.719	1015.26	0	1004.68	1036.93	1015.86
90	10	432.359	990.226	0	975.61	1012.02	990.226
