n	rep	time	value	gap	LPvalue	H0	H1
80	1	1200.5	802.027	0.294062	790.404	818.968	802.027
80	2	1200.04	720.122	1.0538	705.635	742.465	721.974
80	3	1200.43	708.563	1.48681	688.048	724.2	708.563
80	4	1200.05	779.566	1.37729	760.054	806.735	779.566
80	5	1200.18	718.005	1.3832	701.494	737.694	718.005
80	6	1200.04	723.915	1.37152	708.844	739.427	723.915
80	7	884.651	737.923	0	728.718	741.461	737.923
80	8	1200.77	744.378	0.753826	731.904	758.55	744.378
80	9	556.121	756.064	0	746.212	761.824	756.064
80	10	1200.04	795.437	0.222769	785.628	827.468	795.437
