n	rep	time	value	gap	LPvalue	H0	H1
70	1	1200.04	693.249	0.971838	674.02	719.429	693.249
70	2	1200.04	720.779	1.25084	699.557	736.69	720.779
70	3	655.866	757.461	0	750.127	786.883	757.461
70	4	586.663	738.226	0	726.558	753.681	742.087
70	5	1013.92	734.914	0	724.985	744.341	737.778
70	6	1200.13	748.062	1.44693	726.988	753.728	748.062
70	7	275.866	673.179	0	658.686	689.339	673.179
70	8	1187.15	659.999	0	647.636	679.838	663.305
70	9	1200.03	623.781	0.418067	611.222	641.41	624.176
70	10	1200.06	754.812	1.42464	727.308	787.533	754.812
