n	rep	time	value	gap	LPvalue	H0	H1
110	1	1200.05	1214.05	0.701784	1200.08	1242.1	1214.05
110	2	1200.06	1114.23	1.74786	1086.44	1148.72	1114.23
110	3	1200.13	1107.65	0.245392	1098.15	1129.97	1107.65
110	4	1200.71	1060.09	1.38275	1038.33	1102.61	1060.09
110	5	1200.38	1112.15	0.778133	1097.2	1125.36	1112.15
110	6	1200.71	1116.37	0.806555	1101.51	1152.08	1119.96
110	7	1200.7	1194.21	0.138914	1183.08	1232.97	1194.21
110	8	1200.05	1203.84	0.224236	1192.6	1261.81	1203.84
110	9	1200.9	1094.48	0.88412	1079.14	1138.23	1094.48
110	10	1200.15	1134.06	0.864355	1118.86	1162.07	1134.06
