n	rep	time	value	gap	LPvalue	H0	H1
100	1	1200.47	1184.34	0.290596	1173.2	1215.77	1186.46
100	2	1200.42	1018.47	1.69128	991.38	1049.43	1018.47
100	3	1200.03	1023.25	0.21467	1008.48	1054.1	1024.19
100	4	1200.19	1141.87	0.766537	1127.39	1186.84	1141.87
100	5	1200.05	1036.01	0.088487	1025.32	1075.22	1036.01
100	6	770.148	1108.92	0	1100.77	1155.32	1108.92
100	7	1200.14	1129.76	0.0544002	1117.27	1170.3	1129.76
100	8	826.99	1135.87	0	1122.1	1162.74	1135.87
100	9	1200.17	1071.66	0.304925	1062.35	1103.81	1071.66
100	10	1200.06	1172.24	2.10154	1143.31	1199.69	1172.24
