n	rep	time	value	gap	LPvalue	H0	H1
120	1	1200.46	1583.59	0.767692	1561.11	1629.94	1583.59
120	2	1200.05	1555.2	1.72536	1522.46	1613.1	1555.2
120	3	1200.4	1375.49	1.51165	1348.65	1415.95	1375.49
120	4	1200.08	1565.33	0.218096	1547.48	1586.32	1565.33
120	5	1200.06	1507.03	0.0989937	1494.21	1526.82	1507.03
120	6	1045.41	1530.94	0	1511.35	1577.28	1531.14
120	7	1200.29	1627.45	1.29479	1598.21	1654.71	1627.45
120	8	1200.15	1484.47	0.624818	1462.02	1550.56	1484.47
120	9	1200.04	1422.86	0.582128	1410.34	1509.64	1430.05
120	10	560.369	1590.15	0	1577.99	1654.74	1590.15
