n	rep	time	value	gap	LPvalue	H0	H1
35	1	4.796	2.15543e+06	0	2.11633e+06	2.20398e+06	2.15543e+06
35	2	6.559	2.78548e+06	0	2.72108e+06	2.87328e+06	2.78548e+06
35	3	163.092	3.93031e+06	0	3.77395e+06	3.98766e+06	3.93031e+06
35	4	307.889	3.11156e+06	0	2.94906e+06	3.12758e+06	3.11156e+06
35	5	5.501	3.00399e+06	0	2.94054e+06	3.09888e+06	3.00399e+06
35	6	3.746	2.74254e+06	0	2.69549e+06	2.74614e+06	2.74254e+06
35	7	7.404	2.59187e+06	0	2.52835e+06	2.6684e+06	2.59187e+06
35	8	7.554	2.83432e+06	0	2.78025e+06	3.01744e+06	2.83432e+06
35	9	6.941	2.6215e+06	0	2.54504e+06	2.74174e+06	2.63511e+06
35	10	58.916	2.76778e+06	0	2.65055e+06	2.77366e+06	2.76778e+06
