n	rep	time	value	gap	LPvalue	H0	H1
70	1	40.476	1.50673e+06	0	1.49936e+06	1.5312e+06	1.50673e+06
70	2	209.672	1.41266e+06	0	1.39769e+06	1.4492e+06	1.41266e+06
70	3	65.182	1.28702e+06	0	1.27953e+06	1.31835e+06	1.28702e+06
70	4	675.384	1.74801e+06	0	1.7297e+06	1.75176e+06	1.74801e+06
70	5	70.887	1.07891e+06	0	1.06875e+06	1.11996e+06	1.07891e+06
70	6	155.817	1.55529e+06	0	1.5421e+06	1.66739e+06	1.55529e+06
70	7	45.956	1.82679e+06	0	1.81836e+06	1.85893e+06	1.82679e+06
70	8	92.918	1.50011e+06	0	1.48802e+06	1.5578e+06	1.50011e+06
70	9	84.855	1.24171e+06	0	1.23104e+06	1.26624e+06	1.24171e+06
70	10	184.58	1.31194e+06	0	1.29519e+06	1.36743e+06	1.31194e+06
