n	rep	time	value	gap	LPvalue	H0	H1
45	1	72.34	3.58127e+06	0	3.47561e+06	3.5864e+06	3.58127e+06
45	2	100.286	4.49801e+06	0	4.36015e+06	4.63551e+06	4.58515e+06
45	3	173.489	4.16144e+06	0	4.05347e+06	4.16662e+06	4.16144e+06
45	4	263.733	4.22131e+06	0	4.0091e+06	4.2387e+06	4.22131e+06
45	5	212.381	3.51738e+06	0	3.37322e+06	3.60901e+06	3.51738e+06
45	6	51.074	3.2322e+06	0	3.17673e+06	3.2864e+06	3.2322e+06
45	7	491.467	4.24728e+06	0	4.10843e+06	4.46122e+06	4.28903e+06
45	8	18.305	4.11285e+06	0	4.06683e+06	4.28917e+06	4.11285e+06
45	9	22.393	3.02077e+06	0	2.95794e+06	3.20619e+06	3.0223e+06
45	10	34.948	4.40617e+06	0	4.30428e+06	4.51183e+06	4.40617e+06
