n	rep	time	value	gap	LPvalue	H0	H1
70	1	1200.04	166952	2.12265	162061	168327	166952
70	2	1200.05	176722	1.07268	173301	177167	176722
70	3	1200.05	165335	2.02828	160109	169048	165335
70	4	1200.05	196113	1.59766	189658	197325	196113
70	5	1200.41	170947	0.622195	168428	175889	170947
70	6	1200.04	166405	0.786291	163323	167782	166405
70	7	1200.05	175985	1.40255	170334	176347	175985
70	8	1200.22	164712	0.21686	162617	165677	164712
70	9	1200.06	173137	1.84945	167799	175883	173137
70	10	1200.44	173665	0.31503	170757	174163	173665
