n	rep	time	value	gap	LPvalue	H0	H1
55	1	1200.03	5.968e+06	1.73418	5.69697e+06	6.0389e+06	5.968e+06
55	2	425.268	6.2261e+06	0	6.07163e+06	6.23736e+06	6.2261e+06
55	3	1200.04	5.43752e+06	1.06696	5.2325e+06	5.63736e+06	5.43752e+06
55	4	1200.03	5.54917e+06	1.87255	5.28757e+06	5.60358e+06	5.54918e+06
55	5	55.859	5.53749e+06	0	5.42555e+06	5.69582e+06	5.53749e+06
55	6	41.587	4.59665e+06	0	4.53221e+06	4.6679e+06	4.59665e+06
55	7	1200.04	6.23934e+06	1.60552	5.97536e+06	6.3506e+06	6.23934e+06
55	8	253.602	6.01597e+06	0	5.87983e+06	6.26205e+06	6.02796e+06
55	9	147.041	6.08097e+06	0	6.01084e+06	6.19485e+06	6.08097e+06
55	10	90.376	4.90052e+06	0	4.81272e+06	4.97869e+06	4.93145e+06
