n	rep	time	value	gap	LPvalue	H0	H1
65	1	1200.04	145990	1.40676	141557	146412	145990
65	2	1200.04	157336	0.592138	154285	157635	157336
65	3	1200.04	143632	1.43168	139438	144721	143632
65	4	1200.04	179416	1.63313	173417	182282	179416
65	5	875.918	157998	0	155951	161962	157998
65	6	1200.11	146052	0.725909	142752	147843	146052
65	7	1200.17	159761	1.56064	153977	160111	159761
65	8	239.811	146393	0	144773	149306	146393
65	9	1200.28	158078	0.623739	155056	161601	158078
65	10	688.318	157232	0	154304	159732	157232
