n	rep	time	value	gap	LPvalue	H0	H1
65	1	1151.71	1.66028e+06	0	1.62681e+06	1.68743e+06	1.66029e+06
65	2	47.452	892690	0	882717	929280	892690
65	3	83.045	1.11409e+06	0	1.10128e+06	1.14648e+06	1.11409e+06
65	4	164.747	1.38501e+06	0	1.37066e+06	1.41774e+06	1.38501e+06
65	5	142.743	1.01413e+06	0	985716	1.07401e+06	1.01413e+06
65	6	83.766	1.10126e+06	0	1.07675e+06	1.15453e+06	1.10126e+06
65	7	44.054	1.45656e+06	0	1.44478e+06	1.50277e+06	1.45656e+06
65	8	103.387	1.49473e+06	0	1.47519e+06	1.52345e+06	1.49473e+06
65	9	89.559	1.39985e+06	0	1.38083e+06	1.45123e+06	1.39985e+06
65	10	48.664	1.20785e+06	0	1.19881e+06	1.28579e+06	1.20785e+06
