n	rep	time	value	gap	LPvalue	H0	H1
40	1	24.16	3.09007e+06	0	3.04152e+06	3.13365e+06	3.09007e+06
40	2	360.685	4.10854e+06	0	3.95912e+06	4.13439e+06	4.10855e+06
40	3	200.403	2.99922e+06	0	2.88951e+06	3.13976e+06	3.00677e+06
40	4	386.231	4.59697e+06	0	4.35833e+06	4.61715e+06	4.59697e+06
40	5	19.624	3.24083e+06	0	3.16722e+06	3.47002e+06	3.24756e+06
40	6	15.19	3.47572e+06	0	3.39463e+06	3.51707e+06	3.47572e+06
40	7	19.484	3.67043e+06	0	3.60112e+06	3.89431e+06	3.67043e+06
40	8	36.215	2.93853e+06	0	2.89354e+06	3.06795e+06	2.93853e+06
40	9	9.133	3.14435e+06	0	3.07114e+06	3.22572e+06	3.14435e+06
40	10	35.622	3.83776e+06	0	3.74399e+06	3.84285e+06	3.83776e+06
