n	rep	time	value	gap	LPvalue	H0	H1
45	1	44.96	1.05397e+06	0	1.02936e+06	1.08268e+06	1.05397e+06
45	2	8.452	724263	0	717558	741846	724263
45	3	5.57	664263	0	659856	688750	664263
45	4	10.678	1.06193e+06	0	1.05567e+06	1.09015e+06	1.06193e+06
45	5	10.502	568744	0	559123	585338	568744
45	6	4.84	965119	0	961327	973942	965119
45	7	29.388	1.2002e+06	0	1.17121e+06	1.22577e+06	1.2002e+06
45	8	23.705	922308	0	904297	940148	922308
45	9	26.791	1.03871e+06	0	1.01068e+06	1.06831e+06	1.03871e+06
45	10	19.472	707999	0	694759	715810	707999
