n	rep	time	value	gap	LPvalue	H0	H1
25	1	2.312	1.74297e+06	0	1.69359e+06	1.76211e+06	1.74297e+06
25	2	1.896	1.92859e+06	0	1.88067e+06	1.96758e+06	1.92859e+06
25	3	2.069	2.15237e+06	0	2.04855e+06	2.17137e+06	2.15237e+06
25	4	1.33	1.5411e+06	0	1.48613e+06	1.5999e+06	1.5411e+06
25	5	0.668	1.57409e+06	0	1.54235e+06	1.69469e+06	1.57409e+06
25	6	1.43	1.9344e+06	0	1.89072e+06	1.93725e+06	1.9344e+06
25	7	4.673	2.0721e+06	0	1.97392e+06	2.1233e+06	2.08213e+06
25	8	1.558	1.7616e+06	0	1.72432e+06	1.78601e+06	1.7616e+06
25	9	1.333	1.7246e+06	0	1.69139e+06	1.77814e+06	1.7246e+06
25	10	2.116	1.66932e+06	0	1.58264e+06	1.68012e+06	1.66932e+06
