n	rep	time	value	gap	LPvalue	H0	H1
50	1	96.59	1.12726e+06	0	1.09014e+06	1.14729e+06	1.12727e+06
50	2	129.606	806117	0	774028	847798	806117
50	3	11.417	725291	0	719082	735441	725291
50	4	25.956	1.09238e+06	0	1.07761e+06	1.10016e+06	1.09238e+06
50	5	79.846	645836	0	620874	723152	645836
50	6	15.773	931071	0	919097	940092	931071
50	7	57.043	1.53925e+06	0	1.50075e+06	1.56617e+06	1.53925e+06
50	8	1200.04	1.24245e+06	0.991142	1.16856e+06	1.2879e+06	1.24245e+06
50	9	12.559	806365	0	799507	832303	806365
50	10	8.623	704680	0	699996	714813	704680
