n	rep	time	value	gap	LPvalue	H0	H1
50	1	42.982	5.0906e+06	0	5.0099e+06	5.12137e+06	5.0906e+06
50	2	461.974	5.43974e+06	0	5.20525e+06	5.62595e+06	5.4492e+06
50	3	1200.05	4.91856e+06	2.74004	4.65399e+06	4.96688e+06	4.91856e+06
50	4	1200.04	5.5228e+06	1.5832	5.26503e+06	5.59113e+06	5.54023e+06
50	5	107.383	4.59331e+06	0	4.48868e+06	4.65248e+06	4.59331e+06
50	6	319.446	4.77003e+06	0	4.6584e+06	4.79802e+06	4.77003e+06
50	7	72.22	5.64236e+06	0	5.52895e+06	5.67123e+06	5.64236e+06
50	8	70.751	4.27456e+06	0	4.19023e+06	4.3107e+06	4.28831e+06
50	9	118.381	5.09643e+06	0	4.99253e+06	5.37463e+06	5.09643e+06
50	10	100.368	5.45025e+06	0	5.3523e+06	5.47435e+06	5.45025e+06
