n	rep	time	value	gap	LPvalue	H0	H1
20	1	2.031	1.29069e+06	0	1.22295e+06	1.31942e+06	1.31526e+06
20	2	0.802	1.67183e+06	0	1.63629e+06	1.68271e+06	1.67183e+06
20	3	1.162	1.03573e+06	0	998609	1.03778e+06	1.03573e+06
20	4	0.566	800259	0	781165	809829	800259
20	5	0.398	1.08704e+06	0	1.06632e+06	1.1442e+06	1.08704e+06
20	6	3.43	1.16858e+06	0	1.11004e+06	1.19345e+06	1.16858e+06
20	7	0.504	1.12119e+06	0	1.09473e+06	1.12287e+06	1.12119e+06
20	8	0.578	1.04761e+06	0	1.01916e+06	1.07765e+06	1.04761e+06
20	9	0.377	1.05223e+06	0	1.04137e+06	1.11115e+06	1.05223e+06
20	10	1.096	1.09697e+06	0	1.04517e+06	1.12608e+06	1.09697e+06
