n	rep	time	value	gap	LPvalue	H0	H1
70	1	1200.03	7.87165e+06	0.250905	7.70897e+06	7.93299e+06	7.87165e+06
70	2	1200.05	7.97193e+06	0.364903	7.80418e+06	8.04751e+06	7.97192e+06
70	3	1200.09	7.50346e+06	1.40755	7.25564e+06	7.66054e+06	7.50346e+06
70	4	1200.03	8.34639e+06	1.77736	8.0276e+06	8.54704e+06	8.34639e+06
70	5	1200.03	8.10437e+06	0.608442	7.92209e+06	8.28246e+06	8.10437e+06
70	6	1200.04	7.30438e+06	0.0920974	7.12531e+06	7.32514e+06	7.30438e+06
70	7	1200.05	8.93465e+06	1.24039	8.62698e+06	9.09152e+06	8.93465e+06
70	8	1200.04	7.29018e+06	0.839393	7.14779e+06	7.4603e+06	7.31038e+06
70	9	1200.25	8.01965e+06	1.78592	7.73861e+06	8.33256e+06	8.01965e+06
70	10	1200.04	8.41687e+06	0.607181	8.17569e+06	8.56741e+06	8.41954e+06
