n	rep	time	value	gap	LPvalue	H0	H1
60	1	1200.09	1.39027e+06	0.854328	1.34741e+06	1.43599e+06	1.40546e+06
60	2	92.242	1.08168e+06	0	1.06243e+06	1.10042e+06	1.08168e+06
60	3	169.375	1.10463e+06	0	1.0794e+06	1.15489e+06	1.11266e+06
60	4	63.506	1.06335e+06	0	1.04527e+06	1.09517e+06	1.06335e+06
60	5	103.868	1.12216e+06	0	1.10955e+06	1.18608e+06	1.12216e+06
60	6	24.564	1.14658e+06	0	1.13797e+06	1.20035e+06	1.14658e+06
60	7	220.178	1.29357e+06	0	1.26074e+06	1.33334e+06	1.29357e+06
60	8	72.35	1.07127e+06	0	1.04892e+06	1.11307e+06	1.07128e+06
60	9	30.361	848315	0	841066	875722	848315
60	10	233.407	836081	0	813591	884612	836081
