n	rep	time	value	gap	LPvalue	H0	H1
60	1	1200.14	5.3964e+06	0.351014	5.28283e+06	5.44434e+06	5.42186e+06
60	2	779.062	4.90441e+06	0	4.7213e+06	4.97281e+06	4.90441e+06
60	3	1200.08	5.79308e+06	6.18754	5.35086e+06	6.03991e+06	5.79308e+06
60	4	1200.05	7.17372e+06	4.35595	6.73994e+06	7.20206e+06	7.17372e+06
60	5	158.042	6.56791e+06	0	6.42541e+06	6.69544e+06	6.56791e+06
60	6	1200.21	5.57022e+06	0.522475	5.45392e+06	5.68813e+06	5.57022e+06
60	7	1200.09	6.45387e+06	2.47656	6.12141e+06	6.47631e+06	6.45387e+06
60	8	1200.03	5.69991e+06	0.409574	5.56085e+06	5.79815e+06	5.69991e+06
60	9	1112.1	6.52962e+06	0	6.39402e+06	6.73512e+06	6.52962e+06
60	10	1200.17	6.08894e+06	0.356587	5.94668e+06	6.12701e+06	6.08894e+06
